average,label,anomaly
18.430115303487224,normal,non_anomaly
17.704772607938345,normal,non_anomaly
14.863036329909566,normal,non_anomaly
15.661172202912978,normal,non_anomaly
16.083571552521782,normal,non_anomaly
18.82852569846404,normal,non_anomaly
17.614099030881217,normal,non_anomaly
16.471938073154828,normal,non_anomaly
15.200331435278256,normal,non_anomaly
14.795851083023445,normal,non_anomaly
15.895524913405538,normal,non_anomaly
15.374163223641618,normal,non_anomaly
18.242380870694017,normal,non_anomaly
14.491624269512373,normal,non_anomaly
16.40232070320834,normal,non_anomaly
17.13996014766864,normal,non_anomaly
15.461363958639964,normal,non_anomaly
15.317801420592541,normal,non_anomaly
14.982405075541624,normal,non_anomaly
15.188852809589896,normal,non_anomaly
15.635854484613995,normal,non_anomaly
15.84437624746502,normal,non_anomaly
14.881085620541203,normal,non_anomaly
15.183338906724483,normal,non_anomaly
18.65769440715794,normal,non_anomaly
18.996713793649104,normal,non_anomaly
16.02169000137774,normal,non_anomaly
18.02227299419332,normal,non_anomaly
15.302979897842146,normal,non_anomaly
16.015368841190355,normal,non_anomaly
18.503143683190803,normal,non_anomaly
18.057838931452473,normal,non_anomaly
20.912683011880354,normal,non_anomaly
17.157383977716208,normal,non_anomaly
14.988869521821576,normal,non_anomaly
16.4863066034878,normal,non_anomaly
18.000953598373776,normal,non_anomaly
20.834655298539882,normal,non_anomaly
14.63485075235575,normal,non_anomaly
20.712709254517897,normal,non_anomaly
14.949314012233591,normal,non_anomaly
18.75382812654764,normal,non_anomaly
17.838986727452664,normal,non_anomaly
17.291266243451716,normal,non_anomaly
17.374410267693175,normal,non_anomaly
17.919892516395787,normal,non_anomaly
19.276914077130908,normal,non_anomaly
19.17656746540178,normal,non_anomaly
15.452980622088605,normal,non_anomaly
14.195385791721831,normal,non_anomaly
16.38214048497184,normal,non_anomaly
14.676498996729794,normal,non_anomaly
20.640281266675952,normal,non_anomaly
19.820245058499093,normal,non_anomaly
14.63267495758189,normal,non_anomaly
18.052857494010834,normal,non_anomaly
15.519464263895834,normal,non_anomaly
16.621691926822667,normal,non_anomaly
18.778203462797983,normal,non_anomaly
16.402484681257008,normal,non_anomaly
19.321547692364586,normal,non_anomaly
22.03541118086752,normal,non_anomaly
17.94187931645877,normal,non_anomaly
19.14717832726976,normal,non_anomaly
18.161430723200535,normal,non_anomaly
15.163148921254177,normal,non_anomaly
15.482475410183318,normal,non_anomaly
18.48064445207937,normal,non_anomaly
18.28591947549789,normal,non_anomaly
16.713075828379928,normal,non_anomaly
21.25107481698856,normal,non_anomaly
17.96049618147327,normal,non_anomaly
17.431467212265453,normal,non_anomaly
15.668916618913098,normal,non_anomaly
19.35138728214112,normal,non_anomaly
18.655224062530465,normal,non_anomaly
17.974660571601856,normal,non_anomaly
19.663079132023842,normal,non_anomaly
17.705018181868624,normal,non_anomaly
15.009301615441688,normal,non_anomaly
15.951697517012363,normal,non_anomaly
15.594567377148627,normal,non_anomaly
15.135644085252252,normal,non_anomaly
15.010589011120846,normal,non_anomaly
17.39560157132433,normal,non_anomaly
17.48656918589222,normal,non_anomaly
14.743500043183522,normal,non_anomaly
17.437081559763243,normal,non_anomaly
17.374028427983884,normal,non_anomaly
15.582701627060684,normal,non_anomaly
14.357124353033473,normal,non_anomaly
17.639008489516094,normal,non_anomaly
14.731417971855564,normal,non_anomaly
15.060503240553654,normal,non_anomaly
20.343201358875437,normal,non_anomaly
17.425540340155706,normal,non_anomaly
18.7336939321969,normal,non_anomaly
15.357156664826798,normal,non_anomaly
16.759049144677178,normal,non_anomaly
15.014245912651473,normal,non_anomaly
17.892841032171358,normal,non_anomaly
16.070518155843025,normal,non_anomaly
18.484916856359618,normal,non_anomaly
20.46126739969358,normal,non_anomaly
16.415750495421385,normal,non_anomaly
17.29360821434284,normal,non_anomaly
15.224016863977926,normal,non_anomaly
19.59837033748544,normal,non_anomaly
15.431425136484247,normal,non_anomaly
19.007803789827825,normal,non_anomaly
15.983293862366288,normal,non_anomaly
18.612447215349338,normal,non_anomaly
17.67684746059158,normal,non_anomaly
17.977660398940653,normal,non_anomaly
17.47915187074233,normal,non_anomaly
14.975895425339369,normal,non_anomaly
15.049519726932738,normal,non_anomaly
15.079594833985032,normal,non_anomaly
18.799640532838854,normal,non_anomaly
17.074226928180142,normal,non_anomaly
18.340386412548014,normal,non_anomaly
19.278734839467877,normal,non_anomaly
18.44311804971854,normal,non_anomaly
16.35001298067564,normal,non_anomaly
21.64835803322957,normal,non_anomaly
18.43369725157982,normal,non_anomaly
18.788132538774835,normal,non_anomaly
18.11645368433825,normal,non_anomaly
18.0481010148093,normal,non_anomaly
15.824772200233681,normal,non_anomaly
15.735183850844322,normal,non_anomaly
15.199276608927489,normal,non_anomaly
14.801640948651066,normal,non_anomaly
14.368404938867691,normal,non_anomaly
15.008763614886778,normal,non_anomaly
17.74219506488192,normal,non_anomaly
19.297130652465064,normal,non_anomaly
17.538359144572205,normal,non_anomaly
18.22437728701931,normal,non_anomaly
17.175169751129022,normal,non_anomaly
18.393411710643438,normal,non_anomaly
18.97316508970784,normal,non_anomaly
17.633424388037017,normal,non_anomaly
15.455698067394312,normal,non_anomaly
18.860345807609324,normal,non_anomaly
17.45249132283363,normal,non_anomaly
16.659758001616588,normal,non_anomaly
23.954533556243366,label_1,anomaly
23.393574450614125,label_0,anomaly
21.13470700482147,label_3,anomaly
21.164923959258427,label_3,anomaly
21.16780411134987,label_1,anomaly
21.75733383826762,label_4,anomaly
20.842008276758513,label_1,anomaly
19.95276863067982,label_4,anomaly
19.172837122480495,label_2,anomaly
20.044085177636802,label_4,anomaly
19.180270334774807,label_2,anomaly
19.847755712835458,label_4,anomaly
19.42011334436214,label_0,anomaly
24.43888637951132,label_5,anomaly
23.101555483127996,label_5,anomaly
23.101555483127996,label_5,anomaly
23.236996460262322,label_5,anomaly
27.44244183969358,label_5,anomaly
22.429421597871038,label_5,anomaly
22.44106239733177,label_1,anomaly
23.71995859498686,label_1,anomaly
23.946098540125405,label_5,anomaly
24.929396489590783,label_1,anomaly
20.982075440065323,label_1,anomaly
26.081733727567467,label_5,anomaly
24.01799274494765,label_1,anomaly
24.155280460052147,label_5,anomaly
22.546894455254535,label_2,anomaly
23.57485071926515,label_1,anomaly
26.011563347481257,label_1,anomaly
23.342589122163183,label_5,anomaly
19.866079023007075,label_1,anomaly
24.331824097716023,label_1,anomaly
21.659832518093488,label_2,anomaly
22.996016768169184,label_1,anomaly
17.72991928179221,label_1,anomaly
20.114649361053154,label_7,anomaly
20.674211677202628,label_7,anomaly
19.317040743552962,label_7,anomaly
19.64848062852276,label_7,anomaly
20.089629639706853,label_4,anomaly
18.860101031534143,label_7,anomaly
21.61203855668916,label_5,anomaly
19.933404257813034,label_2,anomaly
20.351495636230318,label_4,anomaly
18.84388355036779,label_2,anomaly
19.087717100894317,label_7,anomaly
19.09745396389554,label_5,anomaly
18.121174159389035,label_5,anomaly
18.436870225760924,label_7,anomaly
18.463901113213083,label_5,anomaly
20.370639620730245,label_7,anomaly
21.68282967268534,label_5,anomaly
23.70581092389312,label_5,anomaly
20.070721307051997,label_5,anomaly
21.617297394221794,label_5,anomaly
21.32830263487845,label_5,anomaly
20.234466294147666,label_5,anomaly
20.345295777301956,label_5,anomaly
21.521249140766624,label_4,anomaly
21.538192165632463,label_1,anomaly
20.60359128187376,label_7,anomaly
19.173490199025988,label_7,anomaly
18.793036885159577,label_7,anomaly
19.368726648056622,label_5,anomaly
18.341516435681484,label_7,anomaly
19.701053407921517,label_5,anomaly
19.014315338041126,label_4,anomaly
19.750435040433555,label_5,anomaly
21.18399573774252,label_4,anomaly
22.066321193886402,label_7,anomaly
21.44069669974804,label_5,anomaly
19.686340049399497,label_4,anomaly
20.537318394910468,label_5,anomaly
18.992257425254913,label_4,anomaly
19.606705270109313,label_5,anomaly
19.158869338844056,label_4,anomaly
17.8962614549809,label_5,anomaly
19.097862123113277,label_4,anomaly
19.928088478168213,label_2,anomaly
18.381916127490037,label_4,anomaly
18.749587769272875,label_7,anomaly
19.19108321568465,label_7,anomaly
18.28841675434966,label_2,anomaly
18.615277570096364,label_4,anomaly
18.976363980802294,label_2,anomaly
19.487006593824017,label_1,anomaly
18.64119078330504,label_2,anomaly
18.677293837016244,label_1,anomaly
18.623998772912742,label_5,anomaly
20.058480983787817,label_4,anomaly
19.20832917147113,label_5,anomaly
20.49805246468824,label_4,anomaly
18.91752886415669,label_5,anomaly
19.54772085915596,label_4,anomaly
18.188563309092356,label_5,anomaly
19.028186805379317,label_4,anomaly
18.607503937070295,label_5,anomaly
19.47413507646999,label_4,anomaly
18.039557773234584,label_5,anomaly
19.347529726762875,label_4,anomaly
19.62274523261535,label_5,anomaly
18.670702307149366,label_4,anomaly
18.572825745876717,label_1,anomaly
17.424954852685,label_0,anomaly
17.254291491881116,label_1,anomaly
19.95548964193991,label_1,anomaly
20.62632335815567,label_4,anomaly
20.102945606566493,label_4,anomaly
18.380802676673834,label_1,anomaly
22.534757744983477,label_5,anomaly
23.512244206179183,label_4,anomaly
20.905303764928924,label_5,anomaly
21.05400654823919,label_4,anomaly
21.584366291240332,label_5,anomaly
20.267255728362848,label_4,anomaly
20.755908852855995,label_5,anomaly
22.144786852235164,label_4,anomaly
19.68919300738086,label_5,anomaly
19.30132124438249,label_4,anomaly
20.404497605600206,label_5,anomaly
21.373112187962167,label_4,anomaly
19.275098190624856,label_5,anomaly
19.28388064016374,label_7,anomaly
20.0516079816802,label_4,anomaly
21.815746358975126,label_5,anomaly
18.374630256602167,label_1,anomaly
20.555836538319745,label_1,anomaly
22.668864244498486,label_1,anomaly
19.729227978319216,label_5,anomaly
19.88677616195886,label_7,anomaly
17.8639728105897,label_5,anomaly
18.707816107804902,label_4,anomaly
18.744192586282004,label_5,anomaly
19.093337549338262,label_4,anomaly
18.693715915445026,label_7,anomaly
18.808656713581662,label_5,anomaly
18.914845190940007,label_7,anomaly
19.126166069483904,label_4,anomaly
20.020983313338075,label_5,anomaly
19.30864407213592,label_4,anomaly
20.028100703894435,label_4,anomaly
18.529226780613563,label_7,anomaly
18.786466464685624,label_5,anomaly
20.00754316441698,label_7,anomaly
18.494681258654875,label_4,anomaly
18.998377937091405,label_5,anomaly
19.22866621178866,label_7,anomaly
19.148347289704784,label_4,anomaly
19.288178065349104,label_5,anomaly
19.919474650006503,label_4,anomaly
21.143510595631728,label_7,anomaly
17.794507634910985,label_5,anomaly
18.866842699999516,label_4,anomaly
18.40062423154244,label_7,anomaly
18.14425116666067,label_5,anomaly
19.3819622344365,label_4,anomaly
19.251563797241097,label_7,anomaly
19.052513511683514,label_5,anomaly
18.76537317633208,label_5,anomaly
17.869330965623263,label_5,anomaly
18.749654629807456,label_2,anomaly
18.164076074861267,label_5,anomaly
20.551179303364144,label_5,anomaly
20.12510398658047,label_2,anomaly
18.585014426265804,label_2,anomaly
18.25488093540751,label_2,anomaly
19.102962971726065,label_7,anomaly
18.720061967154486,label_2,anomaly
21.23124045370148,label_1,anomaly
18.209250304017605,label_2,anomaly
19.687573853556184,label_1,anomaly
